YYYYMMDD	M3	M2	M1	W4	W3	W2	W1	weekend	season	event
20180424	55	55	60	60	60	60	60		0	0
20180425	55	55	60	60	60	60	60		0	0
20180426	55	55	60	60	60	60	60		0	0
20180427	45	50	50	50	50	50	50	1	0	1
20180428	45	50	50	50	50	50	50	1	0	1
20180429	45	50	50	50	50	50	50		0	1
20180430	45	50	50	50	60	60	60		0	1
20180501	45	50	50	50	60	60	60		0	1
20180502	45	45	45	45	60	60	60		0	1
20180503	45	45	45	45	50	50	50		0	0
20180504	35	35	35	35	35	35	35	1	0	1
20180505	35	35	35	35	35	35	35	1	0	1
20180506	35	35	35	35	50	50	50		0	1
20180507	35	35	35	50	50	50	50		0	1
20180508	55	55	55	65	65	65	65		0	0
20180509	55	55	55	65	65	65	65		0	0
20180510	55	55	55	60	60	60	60		0	0
20180511	55	55	55	60	60	60	60	1	0	0
20180512	55	55	55	60	60	60	60	1	0	0
20180513	55	55	55	65	65	65	65		0	0
20180514	55	55	65	65	65	65	65		0	0
20180515	55	55	65	65	65	65	65		0	0
20180516	55	55	65	65	65	65	65		0	0
20180517	55	55	55	55	55	45	45		0	0
20180518	35	35	35	35	35	35	35	1	0	1
20180519	35	35	35	35	35	35	35	1	0	1
20180520	35	35	50	50	50	40	40		0	1
20180521	35	35	50	50	50	50	50		0	1
20180522	35	35	50	50	50	50	50		0	1
20180523	55	55	65	65	65	65	65		0	0
20180524	55	55	60	60	60	60	60		0	0
20180525	55	55	60	60	60	60	60	1	0	0
20180526	55	55	60	60	60	60	60	1	0	0
20180527	55	55	65	65	65	65	65		0	0
20180528	55	55	65	65	65	65	65		0	0
20180529	55	55	65	65	65	65	65		0	0
20180530	55	55	65	65	65	65	65		0	0
20180531	55	55	60	60	60	60	60		0	0
20180601	50	50	60	60	60	60	60	1	0	0
20180602	50	50	60	60	60	60	60	1	0	0
20180603	50	50	60	60	60	60	60		0	0
20180604	50	50	60	60	60	60	60		0	0
20180605	50	50	55	55	55	55	55		0	1
20180606	45	45	55	55	55	55	55		0	1
20180607	45	45	55	55	55	55	55		0	1
20180608	45	45	55	55	55	55	55	1	0	1
20180609	45	45	55	55	55	55	55	1	0	1
20180610	45	45	60	60	60	60	60		0	0
20180611	45	45	60	60	60	60	60		0	0
20180612	45	45	60	60	60	60	60		0	0
20180613	45	60	60	60	60	60	60		0	0
20180614	45	60	60	60	60	60	60		0	0
20180615	45	60	60	60	60	60	60		0	0
20180616	45	60	60	60	60	60	60		0	0
