예약경로	예약경로명	계약번호	고객구분	고객구분명	총 청구액(VAT포함)	예약모델	예약모델명	차급	대여일	대여시간	반납일	반납시간	대여기간(일)	대여기간(시간)	CDW요금	할인유형	할인유형명	적용할인명	적용할인율(%)	회원등급	구매목적	생성일	차종
10	직접	2022489103	2	개인	262500	1KSR925	쏘렌토 MQ4 7인승 4WD (D)	SUV/RV	2020-11-28	11:30:00	2020-11-30	15:11:00	2	4	93600	KA03	이벤트할인	KT그룹 임직원	70.00	비회원	단기	2020-10-27	SORENTO MQ4 (D) 2.2 프레스티지 7인승 4WD
21	카드사	2022489109	2	개인	133000	1HDN001	쏘나타 DN8 (G)	2.0급	2020-11-28	11:00:00	2020-11-30	6:44:00	1	20	48000	KA01	업체할인	비씨카드(주)	62.00	일반회원	단기	2020-10-27	SONATA DN8 (G) 2.0 프리미엄
12	제휴사	2022489175	2	개인	166500	1TIV101	티볼리 (G)	SUV/RV	2020-12-03	12:30:00	2020-12-05	13:46:00	2	2	53500	KA03	이벤트할인	KT멤버십	75.00	비회원	단기	2020-10-27	TIVOLI (G) 1.6 아머 TX
13	모바일	2022489230	2	개인	281900	1KSR904	더 마스터 쏘렌토 4WD 7인승 (D)	SUV/RV	2020-11-26	13:00:00	2020-11-28	17:25:00	2	5	93600	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	THE MASTER SORENTO (D) 2.0 프레스티지 7인승 4WD
11	홈페이지	2022489345	2	개인	160800	1HAV140	아반떼 AD (G) F/L	1.6급	2020-11-25	10:00:00	2020-11-27	18:52:00	2	9	43200	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	THE NEW AVANTE AD (G) 1.6 SMART F/L
10	직접	2022489506	2	개인	184200	1HNG001	더 뉴 그랜저 2.5 (G)	2.4급	2020-12-04	17:00:00	2020-12-06	11:27:00	1	19	67200	KA03	이벤트할인	장기거래처_Biz골드	75.00	일반회원	단기	2020-10-27	THE NEW GRANDEUR (G) 2.5 프리미엄
11	홈페이지	2022489530	2	개인	235700	1HCO010	코나 (EV)	전기차	2020-12-10	20:00:00	2020-12-13	13:21:00	2	18	87100	KA02	회원할인	골드회원	68.00	골드회원	단기	2020-10-27	KONA ELECTRIC (E) PREMIUM
10	직접	2022489550	2	개인	158800	1TIV101	티볼리 (G)	SUV/RV	2020-11-24	13:00:00	2020-11-26	19:13:00	2	7	53500	KA02	회원할인	일반회원	70.00	일반회원	단기	2020-10-27	TIVOLI (G) 1.6 아머 TX
26	해외제휴사	2022489712	2	개인	206400	1KK5101	THE NEW K5 (G)	2.0급	2020-11-26	18:00:00	2020-11-29	15:15:00	2	22	72000	KA01	업체할인	Rentalcars	20.00	일반회원	단기	2020-10-27	THE NEW K5 (G) 2.0 프레스티지
10	직접	2022489802	2	개인	292050	1HNG001	더 뉴 그랜저 2.5 (G)	2.4급	2020-11-27	12:30:00	2020-11-29	15:11:00	2	3	93600	KA02	회원할인	일반회원	65.00	일반회원	단기	2020-10-27	THE NEW GRANDEUR (G) 2.5 프리미엄
