rent_day,res_model,res_day,seasonality,lead_time_vec,discount,lead_time_vec,lead_time
2020-12-29,soul,2020-11-13,1,-30,70.0,1,-46
2020-12-29,soul,2020-12-12,1,-17,10.0,1,-17
2020-12-30,soul,2020-11-11,3,-31,70.0,1,-49
2020-12-30,soul,2020-11-19,3,-29,30.0,1,-41
2020-12-30,soul,2020-11-21,3,-29,30.0,1,-39
2020-12-30,soul,2020-12-11,3,-19,10.0,1,-19
2020-12-30,soul,2020-12-12,3,-18,10.0,1,-18
2020-12-31,soul,2020-11-08,3,-31,42.5,2,-53
2020-12-31,soul,2020-11-19,3,-30,27.5,2,-42
2020-12-31,soul,2020-12-11,3,-20,10.0,1,-20
2021-01-01,soul,2020-11-02,3,-32,0.0,1,-60
2021-01-01,soul,2020-11-16,3,-30,33.0,1,-46
2021-01-01,soul,2020-12-11,3,-21,15.0,1,-21
2021-01-03,soul,2020-12-09,3,-25,70.0,1,-25
2021-01-03,soul,2020-12-11,3,-23,70.0,1,-23
2021-01-03,soul,2020-12-15,3,-19,80.0,1,-19
2021-01-04,soul,2020-11-22,1,-30,70.0,1,-43
2021-01-04,soul,2020-12-05,1,-28,80.0,1,-30
2021-01-04,soul,2020-12-13,1,-22,80.0,1,-22
2021-01-04,soul,2020-12-15,1,-20,85.0,1,-20
2021-01-04,soul,2020-12-16,1,-19,80.0,1,-19
2021-01-05,soul,2020-12-03,1,-28,80.0,1,-33
2021-01-05,soul,2020-12-06,1,-28,75.0,1,-30
2021-01-05,soul,2020-12-09,1,-27,80.0,1,-27
2021-01-06,soul,2020-12-09,1,-28,80.0,1,-28
2021-01-07,soul,2020-11-19,2,-31,65.0,1,-49
2021-01-07,soul,2020-11-21,2,-30,65.0,1,-47
2021-01-08,soul,2020-12-12,2,-27,85.0,1,-27
2021-01-09,soul,2020-12-06,2,-28,80.0,1,-34
2021-01-10,soul,2020-11-07,2,-33,65.0,1,-64
2021-01-10,soul,2020-11-13,2,-32,70.0,1,-58
2021-01-10,soul,2020-11-17,2,-31,65.0,1,-54
2021-01-13,soul,2020-11-10,1,-33,75.0,1,-64
2021-01-13,soul,2020-11-18,1,-32,65.0,1,-56
2021-01-13,soul,2020-12-11,1,-28,75.0,1,-33
2021-01-16,soul,2020-11-15,2,-32,65.0,1,-62
2021-01-16,soul,2020-12-13,2,-28,85.0,1,-34
2021-01-16,soul,2020-12-16,2,-28,85.0,1,-31
2021-01-17,soul,2020-11-21,2,-32,65.0,1,-57
2021-01-17,soul,2020-12-06,2,-30,80.0,1,-42
2021-01-18,soul,2020-11-19,1,-32,65.0,1,-60
2021-01-18,soul,2020-11-30,1,-31,80.0,1,-49
2021-01-18,soul,2020-12-12,1,-29,85.0,1,-37
2021-01-23,soul,2020-11-24,2,-32,65.0,1,-60
2021-01-25,soul,2020-11-11,1,-34,70.0,1,-75
2021-01-25,soul,2020-12-15,1,-29,85.0,1,-41
2021-01-27,soul,2020-11-11,1,-35,65.0,1,-77
2021-01-28,soul,2020-11-12,2,-35,65.0,1,-77
2021-01-31,soul,2020-11-30,2,-32,75.0,1,-62
2021-01-31,soul,2020-12-04,2,-32,78.0,1,-58
2021-02-10,soul,2020-12-13,3,-32,65.0,1,-59
2021-02-11,soul,2020-11-17,3,-36,65.0,1,-86
2021-02-11,soul,2020-12-15,3,-32,65.0,1,-58
2021-02-19,soul,2020-11-26,2,-36,70.0,1,-85
2021-02-19,soul,2020-12-05,2,-34,75.0,1,-76
2021-02-21,soul,2020-11-24,2,-36,65.0,1,-89
2021-02-21,soul,2020-11-25,2,-36,65.0,1,-88
2021-02-26,soul,2020-12-07,2,-35,75.0,1,-81
2021-02-27,soul,2020-11-30,2,-36,75.0,1,-89
2021-02-27,soul,2020-12-12,2,-35,78.0,1,-77
