rent_day,res_model,res_day,discount,util_add,seasonality,lead_time_vec,util_rate_add,lead_time
2020-12-09,soul,2020-11-05,73.0,0.7222222222222222,1,-28,0.02490421455938697,-34
2020-12-09,soul,2020-11-07,70.0,1.0,1,-28,0.034482758620689655,-32
2020-12-09,soul,2020-11-12,65.0,1.0,1,-27,0.034482758620689655,-27
2020-12-09,soul,2020-11-14,70.0,1.0,1,-25,0.034482758620689655,-25
2020-12-09,soul,2020-11-17,70.0,1.0,1,-22,0.034482758620689655,-22
2020-12-09,soul,2020-11-18,70.0,1.0,1,-21,0.034482758620689655,-21
2020-12-09,soul,2020-11-20,75.0,2.0,1,-19,0.06896551724137931,-19
2020-12-09,soul,2020-11-21,77.5,2.0,1,-18,0.06896551724137931,-18
2020-12-09,soul,2020-11-22,70.0,1.0,1,-17,0.034482758620689655,-17
2020-12-09,soul,2020-12-01,75.0,2.0,1,-8,0.06896551724137931,-8
2020-12-09,soul,2020-12-02,70.0,1.0,1,-7,0.034482758620689655,-7
2020-12-09,soul,2020-12-03,68.0,1.0,1,-6,0.034482758620689655,-6
2020-12-09,soul,2020-12-04,70.0,1.0,1,-5,0.034482758620689655,-5
2020-12-09,soul,2020-12-05,72.5,2.0,1,-4,0.06896551724137931,-4
2020-12-09,soul,2020-12-06,70.0,1.0,1,-3,0.034482758620689655,-3
2020-12-09,soul,2020-12-07,75.0,2.0,1,-2,0.06896551724137931,-2
2020-12-09,soul,2020-12-08,76.5,2.0,1,-1,0.06896551724137931,-1
2020-12-10,soul,2020-09-08,72.0,1.0,2,-36,0.03333333333333333,-93
2020-12-10,soul,2020-10-15,68.0,1.0,2,-32,0.03333333333333333,-56
2020-12-10,soul,2020-10-17,70.0,1.0,2,-31,0.03333333333333333,-54
2020-12-10,soul,2020-10-31,70.0,1.0,2,-29,0.03333333333333333,-40
2020-12-10,soul,2020-11-02,65.0,1.0,2,-29,0.03333333333333333,-38
2020-12-10,soul,2020-11-05,73.0,1.0,2,-29,0.03333333333333333,-35
2020-12-10,soul,2020-11-06,50.0,1.0,2,-28,0.03333333333333333,-34
2020-12-10,soul,2020-11-07,70.0,1.0,2,-28,0.03333333333333333,-33
2020-12-10,soul,2020-11-12,65.0,1.0,2,-28,0.03333333333333333,-28
2020-12-10,soul,2020-11-14,70.0,1.0,2,-26,0.03333333333333333,-26
2020-12-10,soul,2020-11-17,70.0,1.0,2,-23,0.03333333333333333,-23
2020-12-10,soul,2020-11-19,65.0,1.0,2,-21,0.03333333333333333,-21
2020-12-10,soul,2020-11-20,75.0,2.0,2,-20,0.06666666666666667,-20
2020-12-10,soul,2020-11-21,77.5,2.0,2,-19,0.06666666666666667,-19
2020-12-10,soul,2020-11-22,70.0,1.0,2,-18,0.03333333333333333,-18
2020-12-10,soul,2020-12-01,75.0,2.0,2,-9,0.06666666666666667,-9
2020-12-10,soul,2020-12-02,70.0,1.0,2,-8,0.03333333333333333,-8
2020-12-10,soul,2020-12-03,68.0,1.0,2,-7,0.03333333333333333,-7
2020-12-10,soul,2020-12-05,72.5,2.0,2,-5,0.06666666666666667,-5
2020-12-10,soul,2020-12-06,70.0,1.0,2,-4,0.03333333333333333,-4
2020-12-10,soul,2020-12-07,72.66666666666667,3.0,2,-3,0.1,-3
2020-12-10,soul,2020-12-08,76.5,2.0,2,-2,0.06666666666666667,-2
2020-12-11,soul,2020-10-15,68.0,1.0,2,-32,0.03333333333333333,-57
2020-12-11,soul,2020-10-17,70.0,1.0,2,-31,0.03333333333333333,-55
2020-12-11,soul,2020-11-02,65.0,1.0,2,-29,0.03333333333333333,-39
2020-12-11,soul,2020-11-05,73.0,1.0,2,-29,0.03333333333333333,-36
2020-12-11,soul,2020-11-06,50.0,1.0,2,-29,0.03333333333333333,-35
2020-12-11,soul,2020-11-07,70.0,1.0,2,-28,0.03333333333333333,-34
2020-12-11,soul,2020-11-10,68.0,1.0,2,-28,0.03333333333333333,-31
2020-12-11,soul,2020-11-14,70.0,1.0,2,-27,0.03333333333333333,-27
2020-12-11,soul,2020-11-19,65.0,1.0,2,-22,0.03333333333333333,-22
2020-12-11,soul,2020-11-20,75.0,1.0,2,-21,0.03333333333333333,-21
2020-12-11,soul,2020-11-21,65.0,2.0,2,-20,0.06666666666666667,-20
2020-12-11,soul,2020-11-24,68.0,0.75,2,-17,0.025,-17
2020-12-11,soul,2020-12-01,75.0,1.0,2,-10,0.03333333333333333,-10
2020-12-11,soul,2020-12-02,70.0,1.0,2,-9,0.03333333333333333,-9
2020-12-11,soul,2020-12-03,68.0,1.0,2,-8,0.03333333333333333,-8
2020-12-11,soul,2020-12-05,72.5,2.0,2,-6,0.06666666666666667,-6
2020-12-11,soul,2020-12-07,75.0,1.0,2,-4,0.03333333333333333,-4
2020-12-11,soul,2020-12-08,74.0,2.0,2,-3,0.06666666666666667,-3
2020-12-11,soul,2020-12-09,70.0,1.0,2,-2,0.03333333333333333,-2
2020-12-11,soul,2020-12-10,62.5,1.9166666666666665,2,-1,0.06388888888888888,-1
2020-12-11,soul,2020-12-11,65.0,1.0,2,0,0.03333333333333333,0
2020-12-12,soul,2020-10-17,70.0,1.0,2,-32,0.03333333333333333,-56
2020-12-12,soul,2020-11-01,80.0,1.0,2,-29,0.03333333333333333,-41
2020-12-12,soul,2020-11-05,73.0,1.0,2,-29,0.03333333333333333,-37
2020-12-12,soul,2020-11-06,57.5,2.0,2,-29,0.06666666666666667,-36
2020-12-12,soul,2020-11-10,68.0,1.0,2,-28,0.03333333333333333,-32
2020-12-12,soul,2020-11-17,67.5,2.0,2,-25,0.06666666666666667,-25
2020-12-12,soul,2020-11-18,65.0,1.0,2,-24,0.03333333333333333,-24
2020-12-12,soul,2020-11-19,65.0,1.0,2,-23,0.03333333333333333,-23
2020-12-12,soul,2020-11-20,75.0,1.0,2,-22,0.03333333333333333,-22
2020-12-12,soul,2020-11-21,65.0,2.0,2,-21,0.06666666666666667,-21
2020-12-12,soul,2020-11-24,68.0,1.0,2,-18,0.03333333333333333,-18
2020-12-12,soul,2020-12-03,68.0,1.0,2,-9,0.03333333333333333,-9
2020-12-12,soul,2020-12-05,65.0,1.0,2,-7,0.03333333333333333,-7
2020-12-12,soul,2020-12-07,75.0,1.0,2,-5,0.03333333333333333,-5
2020-12-12,soul,2020-12-08,67.5,2.0,2,-4,0.06666666666666667,-4
2020-12-12,soul,2020-12-09,70.0,1.0,2,-3,0.03333333333333333,-3
2020-12-12,soul,2020-12-10,60.0,1.0,2,-2,0.03333333333333333,-2
2020-12-12,soul,2020-12-11,65.0,2.0,2,-1,0.06666666666666667,-1
2020-12-13,soul,2020-11-01,80.0,1.0,2,-30,0.03333333333333333,-42
2020-12-13,soul,2020-11-06,65.0,1.0,2,-29,0.03333333333333333,-37
2020-12-13,soul,2020-11-10,68.0,1.0,2,-28,0.03333333333333333,-33
2020-12-13,soul,2020-11-17,65.0,3.0,2,-26,0.1,-26
2020-12-13,soul,2020-11-18,65.0,1.0,2,-25,0.03333333333333333,-25
2020-12-13,soul,2020-11-19,65.0,1.0,2,-24,0.03333333333333333,-24
2020-12-13,soul,2020-11-20,75.0,1.0,2,-23,0.03333333333333333,-23
2020-12-13,soul,2020-11-21,65.0,2.0,2,-22,0.06666666666666667,-22
2020-12-13,soul,2020-11-24,68.0,1.0,2,-19,0.03333333333333333,-19
2020-12-13,soul,2020-11-30,65.0,1.0,2,-13,0.03333333333333333,-13
2020-12-13,soul,2020-12-03,70.0,1.0,2,-10,0.03333333333333333,-10
2020-12-13,soul,2020-12-05,65.0,1.0,2,-8,0.03333333333333333,-8
2020-12-13,soul,2020-12-07,75.0,1.0,2,-6,0.03333333333333333,-6
2020-12-13,soul,2020-12-08,66.66666666666667,3.0,2,-5,0.1,-5
2020-12-13,soul,2020-12-09,72.5,1.5,2,-4,0.05,-4
2020-12-13,soul,2020-12-10,62.5,2.0,2,-3,0.06666666666666667,-3
2020-12-13,soul,2020-12-11,65.0,2.0,2,-2,0.06666666666666667,-2
2020-12-14,soul,2020-11-01,80.0,1.0,1,-30,0.03333333333333333,-43
2020-12-14,soul,2020-11-06,65.0,1.0,1,-29,0.03333333333333333,-38
2020-12-14,soul,2020-11-10,68.0,1.0,1,-28,0.03333333333333333,-34
2020-12-14,soul,2020-11-16,73.0,1.0,1,-28,0.03333333333333333,-28
2020-12-14,soul,2020-11-17,65.0,3.0,1,-27,0.1,-27
2020-12-14,soul,2020-11-18,67.5,2.0,1,-26,0.06666666666666667,-26
2020-12-14,soul,2020-11-20,72.5,2.0,1,-24,0.06666666666666667,-24
2020-12-14,soul,2020-11-30,65.0,1.0,1,-14,0.03333333333333333,-14
2020-12-14,soul,2020-12-03,70.0,1.0,1,-11,0.03333333333333333,-11
2020-12-14,soul,2020-12-05,65.0,1.0,1,-9,0.03333333333333333,-9
2020-12-14,soul,2020-12-07,75.0,2.0,1,-7,0.06666666666666667,-7
2020-12-14,soul,2020-12-08,65.0,2.0,1,-6,0.06666666666666667,-6
2020-12-14,soul,2020-12-09,72.5,2.0,1,-5,0.06666666666666667,-5
2020-12-14,soul,2020-12-10,65.0,1.0,1,-4,0.03333333333333333,-4
2020-12-14,soul,2020-12-11,75.0,1.0,1,-3,0.03333333333333333,-3
2020-12-14,soul,2020-12-13,79.0,2.0,1,-1,0.06666666666666667,-1
2020-12-15,soul,2020-11-01,80.0,1.0,1,-30,0.03333333333333333,-44
